id;cognome;nome;ruoli
19366;D'Altan;Paolo;ILLUSTRATORE
19368;Nakate;Vanessa;AUTORE
19369;Orlando;Andrea;AUTORE
19370;Borso ;Dario;CURATORE
19372;Castelli;Alfredo;AUTORE
19373;Barbato;Paola;AUTORE
19374;Troisi;Licia;AUTORE
19375;Silver;;AUTORE
19376;Cardini;Franco;AUTORE
19377;Montesano;Marina;AUTORE
19389;Asconio;;AUTORE
19390;Santalucia;Bernardo;CURATORE
19410;Gianola;Maria;AUTORE
19422;Dillehay;James;AUTORE
19431;Cagan;Marty;AUTORE
19436;Bongiorno;Laura;PREFATORE
19444;Basconi;Luana;TRADUTTORE
19446;Grünbein;Durs;AUTORE
19447;Valenza;Valeria;ILLUSTRATORE
19448;Fallongo;Cecilia;ILLUSTRATORE
19458;McKenzie;Heath;ILLUSTRATORE
19471;Stevenson;Benjamin;AUTORE
19478;Batori;Susan;AUTORE
19480;Locantore;Maura;CURATORE
19484;Saravalle;Alberto;AUTORE
19487;Plazzi;Andrea;CURATORE
19488;Natalini;Roberto;CURATORE
19491;Cecchini;Ombretta;AUTORE
19492;Lurgo;Ivan;AUTORE
19493;Matteoli;Michela;AUTORE
19494;Morini;Massimiliano;"CURATORE;TRADUTTORE"
19495;Chaucer;Geoffrey;AUTORE
19496;Marras;Giorgia;ILLUSTRATORE
19497;Jones;Gayl;AUTORE
19498;Spampinato;Lorena;AUTORE
19499;Sheperd;Andy;AUTORE
19500;Witcher;Moony;AUTORE
19501;Zaccagnini;Guido;AUTORE
19504;Doré;Jeanne;CURATORE
19505;Nucci;Daniele;AUTORE
19506;Vecchioni;Daniele;AUTORE
19507;Cioè;Simone;AUTORE
19508;Erikioba;;AUTORE
19509;Padovani;Clara;AUTORE
19510;Padovani;Gigi;AUTORE
19511;Edwards;Jim;AUTORE
19512;Simon;Julien;AUTORE
19513;Galioto;Eugenio;AUTORE
19514;Petzold;Charles;AUTORE
19516;Schulz;Adrian;AUTORE
19517;Rocca;Veronica;AUTORE
19518;Veggiesituation;;AUTORE
19519;Petronio;Roberta;AUTORE
19520;Fusco;Ombretta;AUTORE
19521;Mannari;Enrica;AUTORE
19522;Righetto;Matteo;AUTORE
19523;Patrizi;Giorgio;AUTORE
19524;Battaglia;Sveva;AUTORE
19525;Morselli;Raffaella;AUTORE
19526;Ciammitti;Luisa;AUTORE
19527;Nazzaro;Giona A.;CURATORE
153949;Loewenthal;Elena;"AUTORE;CURATORE;TRADUTTORE"
153988;Amato;Bruno;"CURATORE;TRADUTTORE"
154011;Amitrano;Giorgio;"AUTORE;TRADUTTORE"
154178;Melaouah;Yasmina;"CURATORE;TRADUTTORE"
154360;Bacile di Castiglione;Claudia;"CURATORE;TRADUTTORE"
154662;Guercetti;Emanuela;"CURATORE;TRADUTTORE"
155115;Bini;Benedetta;"CURATORE;PREFATORE;TRADUTTORE"
155166;Bisutti;Donatella;"AUTORE;CURATORE"
155360;Borghi;Liana;"CURATORE;TRADUTTORE"
155668;Busi;Aldo;"AUTORE;CONTRIBUTI;PREFATORE;TRADUTTORE"
155936;Cangemi;Laura;TRADUTTORE
156126;Carlotti;Giancarlo;"CURATORE;TRADUTTORE"
156262;Castagnone;Mariagiulia;TRADUTTORE
156328;Cavagnoli;Franca;"AUTORE;CURATORE;PREFATORE;TRADUTTORE"
156735;Collodi;Carlo;"AUTORE;TRADUTTORE"
156972;Cotto;Massimo;"AUTORE;TRADUTTORE"
157349;De Luca;Erri;"AUTORE;CURATORE;INTERPRETE;PREFATORE;TRADUTTORE"
157541;Desideri;Fabrizio;"AUTORE;CURATORE"
157550;Tabucchi;Antonio;"AUTORE;CONTRIBUTI;PREFATORE;TRADUTTORE"
157981;Fachinelli;Elvio;AUTORE
158481;Fusini;Nadia;"AUTORE;CURATORE;PREFATORE;TRADUTTORE"
158836;Liverani;Elena;"PREFATORE;TRADUTTORE"
159918;Lombardo;Agostino;"AUTORE;CONTRIBUTI;CURATORE;TRADUTTORE"
160411;Mantovani;Vincenzo;"PREFATORE;TRADUTTORE"
161420;Origlia;Lydia;TRADUTTORE
161682;Paolini;Pier Francesco;TRADUTTORE
162472;Raimondi;Valeria;TRADUTTORE
162770;Ross;Tony;"AUTORE;ILLUSTRATORE"
163805;Tonelli;Angelo;"CURATORE;TRADUTTORE"
167682;Borgna;Eugenio;"AUTORE;PREFATORE"
172719;Foucault;Michel;AUTORE
174419;Giaveri;Maria Teresa;"CURATORE;TRADUTTORE"
176688;Maldonado;Tomás;"AUTORE;CURATORE"
179255;Perissinotto;Luigi;"AUTORE;CURATORE;TRADUTTORE"
179333;Petazzi;Paolo;"CURATORE;PREFATORE"
186099;Oz;Amos;AUTORE
